ingr_id,catalogPhoto,name,relativeUrl
13629,https://s1.eda.ru/StaticContent/Photos/130104145234/130115162547/p_O.jpg,Морская соль,/wiki/ingredienty/specii-pripravy/sol-13421#13629
13435,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131402/p_O.jpg,Рис,/wiki/ingredienty/krupy-bobovye-muka/ris-13435
13413,https://s1.eda.ru/StaticContent/Photos/120131083110/120911123915/p_O.jpg,Репчатый лук,/wiki/ingredienty/ovoschi-korneplody/repchatyy-luk-13413
13456,https://s1.eda.ru/StaticContent/Photos/120515204458/120529122827/p_O.jpg,Овощной бульон,/wiki/ingredienty/gotovye-produkty/bulon-16355#13456
13954,https://s1.eda.ru/StaticContent/Photos/110808212803/120529131538/p_O.jpg,Херес,/wiki/ingredienty/alkogol/heres-13954
13562,,Сливки 35%-ные,/wiki/ingredienty/molochnye-produkty-yayca/slivki-13474#13562
14598,https://s1.eda.ru/StaticContent/Photos/i/130328144931/p_O.jpg,Смесь салатных листьев,/wiki/ingredienty/zelen-travy/zelenyy-salat-13414#14598
14694,https://s1.eda.ru/StaticContent/Photos/120214160714/120327173648/p_O.jpg,Натуральный йогурт,/wiki/ingredienty/molochnye-produkty-yayca/jogurt-13573#14694
13539,https://s1.eda.ru/StaticContent/Photos/120214130615/120327170200/p_O.jpg,Кабачки,/wiki/ingredienty/ovoschi-korneplody/kabachki-13539
13460,https://s1.eda.ru/StaticContent/Photos/120213180404/120327163745/p_O.jpg,Лавровый лист,/wiki/ingredienty/zelen-travy/lavrovyy-list-13460
13423,https://s1.eda.ru/StaticContent/Photos/120213182735/120912224631/p_O.jpg,Растительное масло,/wiki/ingredienty/bakaleya/rastitelnoe-maslo-13423
13943,https://s1.eda.ru/StaticContent/Photos/121208021522/121217223051/p_O.jpg,Черный душистый перец,/wiki/ingredienty/specii-pripravy/chernyy-dushistyy-perec-13943
13748,https://s1.eda.ru/StaticContent/Photos/120131083019/120328163341/p_O.jpg,Куриная печень,/wiki/ingredienty/ptica/kurica-13566#13748
14668,https://s1.eda.ru/StaticContent/Photos/120304025019/120328132715/p_O.jpg,Сметана 20%-ная,/wiki/ingredienty/molochnye-produkty-yayca/smetana-13485#14668
14206,https://s1.eda.ru/StaticContent/Photos/120131083741/120529170756/p_O.jpg,Круглый рис,/wiki/ingredienty/krupy-bobovye-muka/ris-13435#14206
13415,https://s1.eda.ru/StaticContent/Photos/120131083741/120327132853/p_O.jpg,Зеленый горошек,/wiki/ingredienty/ovoschi-korneplody/zelenij-goroshek-13415
13666,https://s1.eda.ru/StaticContent/Photos/120131083458/121108210516/p_O.jpg,Креветки,/wiki/ingredienty/ryba-moreprodukty/krevetki-13666
14131,https://s1.eda.ru/StaticContent/Photos/120131083215/120328163553/p_O.jpg,Куриные бедра,/wiki/ingredienty/ptica/kurica-13566#14131
13545,https://s1.eda.ru/StaticContent/Photos/130116161736/130123171525/p_O.jpg,Куриный бульон,/wiki/ingredienty/gotovye-produkty/kurinij-bulon-13545
13737,https://s1.eda.ru/StaticContent/Photos/120131082957/120328163303/p_O.jpg,Черный перец горошком,/wiki/ingredienty/specii-pripravy/chernyy-perec-goroshkom-13737
13679,https://s1.eda.ru/StaticContent/Photos/120131083410/120521143502/p_O.jpg,Шафран,/wiki/ingredienty/specii-pripravy/shafran-13679
13406,https://s1.eda.ru/StaticContent/Photos/120515204458/120529122712/p_O.jpg,Белое сухое вино,/wiki/ingredienty/alkogol/vino-15613#13406
14025,,Свежая кинза (кориандр),/wiki/ingredienty/zelen-travy/svezhaya-kinza-koriandr-14025
13411,https://s1.eda.ru/StaticContent/Photos/120830122212/120907114055/p_O.jpg,Вода,/wiki/ingredienty/gotovye-produkty/voda-13411
13535,https://s1.eda.ru/StaticContent/Photos/110808212803/120328144754/p_O.jpg,Зеленый лук,/wiki/ingredienty/zelen-travy/zelenyy-luk-13535
13639,https://s1.eda.ru/StaticContent/Photos/110816125054/120328145453/p_O.jpg,Куриная грудка,/wiki/ingredienty/ptica/kurica-13566#13639
13969,https://s1.eda.ru/StaticContent/Photos/120131085657/120328173000/p_O.jpg,Сыр чеддер,/wiki/ingredienty/syry/sir-chedder-13969
14415,https://s1.eda.ru/StaticContent/Photos/120328144247/120329173515/p_O.jpg,Красный сладкий перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467#14415
13425,https://s1.eda.ru/StaticContent/Photos/120304025019/120328131220/p_O.jpg,Укроп,/wiki/ingredienty/zelen-travy/ukrop-13425
13520,https://s1.eda.ru/StaticContent/Photos/120214123706/120327165544/p_O.jpg,Томатная паста ,/wiki/ingredienty/bakaleya/tomatnaja-pasta-13520
14208,https://s1.eda.ru/StaticContent/Photos/120213181523/120328180141/p_O.jpg,Манго,/wiki/ingredienty/frukty-yagody/mango-14208
13514,https://s1.eda.ru/StaticContent/Photos/110801145439/120328144520/p_O.jpg,Дижонская горчица,/wiki/ingredienty/bakaleya/gorchica-13419#13514
13407,https://s1.eda.ru/StaticContent/Photos/120304025019/120328130506/p_O.jpg,Мед,/wiki/ingredienty/bakaleya/med-13407
13419,https://s1.eda.ru/StaticContent/Photos/120830122212/120910235116/p_O.jpg,Горчица,/wiki/ingredienty/bakaleya/gorchica-13419
13436,https://s1.eda.ru/StaticContent/Photos/120922220520/121026200609/p_O.jpg,Белокочанная капуста,/wiki/ingredienty/ovoschi-korneplody/belokochannaja-kapusta-13436
13432,https://s1.eda.ru/StaticContent/Photos/120213175433/120327163221/p_O.jpg,Краснокочанная капуста,/wiki/ingredienty/ovoschi-korneplody/krasnokochannaja-kapusta-13432
14157,https://s1.eda.ru/StaticContent/Photos/120328144247/120329173515/p_O.jpg,Свежий красный перец,/wiki/ingredienty/ovoschi-korneplody/sladkiy-perec-13467#14157
14126,https://s1.eda.ru/StaticContent/Photos/120213175134/120327153641/p_O.jpg,Рубленая петрушка,/wiki/ingredienty/zelen-travy/petrushka-13424#14126
13431,https://s1.eda.ru/StaticContent/Photos/120213175333/120327163031/p_O.jpg,Картофель,/wiki/ingredienty/ovoschi-korneplody/kartofel-13431
13506,https://s1.eda.ru/StaticContent/Photos/120213185949/120327164841/p_O.jpg,Перец чили,/wiki/ingredienty/ovoschi-korneplody/perec-chili-13506
13577,https://s1.eda.ru/StaticContent/Photos/120304025019/120327174444/p_O.jpg,Орегано,/wiki/ingredienty/zelen-travy/oregano-13577
14945,https://s1.eda.ru/StaticContent/Photos/120131083741/120521145116/p_O.jpg,Кумин (зира),/wiki/ingredienty/specii-pripravy/kumin-zira-14945
17102,,Измельченные помидоры в собственном соку ,/wiki/ingredienty/bakaleya/izmelchennye-pomidory-v-sobstvennom-soku-17102
13687,https://s1.eda.ru/StaticContent/Photos/110816122025/130330210427/p_O.jpg,Томатный сок,/wiki/ingredienty/gotovye-produkty/tomatnyy-sok-13687
13654,,Спагетти,/wiki/ingredienty/bakaleya/pasta-14380#13654
13474,https://s1.eda.ru/StaticContent/Photos/120830122212/120910144527/p_O.jpg,Сливки,/wiki/ingredienty/molochnye-produkty-yayca/slivki-13474
15564,https://s1.eda.ru/StaticContent/Photos/120328144247/120328193113/p_O.jpg,Сыр пармезан,/wiki/ingredienty/syry/sir-parmezan-15564
